GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
51059427,8,Island Creek Voting District,Fairfax,3893,2219,615,340,527,10,182,2135,1375,751
51059529,8,Glen Forest #2 Voting District,Fairfax,3439,1328,183,1014,729,8,177,1295,894,393
51059530,8,Holmes #2 Voting District,Fairfax,3400,1567,344,772,554,0,163,1235,911,316
51059413,8,Fairfield Voting District,Fairfax,12582,1822,4367,5207,853,25,308,3631,3021,584
51059424,8,Huntley Voting District,Fairfax,3677,2198,541,435,392,5,106,2176,1398,750
51059425,8,Wilton Voting District,Fairfax,3398,1514,627,922,248,13,74,1528,1054,463
51059733,11,Kilmer Voting District,Fairfax,5969,3444,289,406,1579,3,248,2844,1781,1036
51059731,11,Tysons Voting District,Fairfax,5025,2929,182,343,1335,4,232,2053,1304,730
51059314,10,McLean Voting District,Fairfax,3382,2419,76,199,563,0,125,1687,941,731
51061402,10,Leeds Voting District,Fauquier,3138,2696,216,122,20,18,66,1908,957,936
51061105,1,Opal Voting District,Fauquier,2076,1753,140,125,18,4,36,1005,368,635
51061202,10,Airlie Voting District,Fauquier,2226,2003,84,84,20,9,26,1436,609,813
51061103,1,Casanova Voting District,Fauquier,1769,1434,193,88,10,15,29,1007,485,514
51061101,1,Kettle Run Voting District,Fauquier,2563,2186,127,135,43,7,65,1395,529,856
51061301,1,Morrisville Voting District,Fauquier,2979,2575,169,165,18,6,46,1313,469,836
51061302,10,Remington Voting District,Fauquier,4598,3641,495,305,36,7,114,2237,1007,1218
51061303,10,Bealeton Voting District,Fauquier,5737,4121,613,732,64,14,193,2198,1039,1143
51061502,10,New Baltimore Voting District,Fauquier,6470,5628,270,324,113,10,125,3566,1340,2184
51061102,1,Catlett Voting District,Fauquier,4299,3645,336,199,37,26,56,2139,753,1364
51061201,10,Courthouse Voting District,Fauquier,4532,3327,596,362,113,16,118,2027,1043,961
51061104,1,Lois Voting District,Fauquier,1610,1394,131,36,20,3,26,907,336,562
51061501,10,The Plains Voting District,Fauquier,3234,2613,181,371,24,4,41,1774,885,878
51061203,10,Baldwin Ridge Voting District,Fauquier,4319,3423,437,233,114,3,109,2261,967,1271
51061503,10,Broad Run Voting District,Fauquier,2510,2285,60,96,30,3,36,1730,615,1101
51061401,10,Marshall Voting District,Fauquier,3865,3115,260,371,22,9,88,2150,967,1155
51061403,10,Waterloo Voting District,Fauquier,5291,4564,384,176,69,26,72,3201,1296,1882
51061204,10,Warrenton Voting District,Fauquier,3987,3007,540,254,82,6,98,1876,951,918
51063401,9,Burns Fork Voting District,Floyd,3014,2876,5,102,5,6,20,1455,498,927
51063301,9,Courthouse Voting District,Floyd,3090,2789,116,129,5,6,45,1504,666,817
51063201,9,Little River Voting District,Floyd,3373,3171,87,55,12,4,44,1687,737,919
51063501,9,Indian Valley Voting District,Floyd,2900,2776,18,80,12,1,13,1413,446,943
51063101,9,Locust Grove Voting District,Floyd,2902,2773,44,46,2,2,35,1444,590,835
51065501,5,Rivanna Voting District,Fluvanna,5337,4456,465,204,46,10,156,2957,1353,1568
51065401,5,Cunningham Voting District,Fluvanna,4526,4094,218,131,17,10,56,2071,705,1353
51065502,5,Rivanna 2 Voting District,Fluvanna,4203,3838,153,103,35,5,69,2667,1404,1238
51065201,5,Columbia Voting District,Fluvanna,3865,2841,882,48,12,3,79,1855,1005,832
51065101,5,Palmyra Voting District,Fluvanna,4394,3102,1014,165,24,9,80,1527,733,788
51065301,5,Fork Union Voting District,Fluvanna,3366,1987,1181,109,12,7,70,1642,985,641
51067402,5,Ferrum Voting District,Franklin,3211,2500,464,98,18,13,118,887,359,516
51067401,5,Henry Voting District,Franklin,2699,2528,104,40,5,1,21,1067,310,743
51067504,5,Gogginsville Voting District,Franklin,1934,1819,36,38,2,7,32,956,327,615
51067303,5,Sontag Voting District,Franklin,2890,2050,641,132,8,7,52,1196,658,526
51067703,5,Rocky Mount South Voting District,Franklin,1901,1327,408,123,3,10,30,906,456,440
51067202,5,Penhook Voting District,Franklin,1969,1741,167,33,7,1,20,1144,390,745
51067103,5,Scruggs Voting District,Franklin,4688,4533,54,43,15,19,24,2678,793,1863
51067201,5,Glade Hill Voting District,Franklin,3645,3242,219,112,28,8,36,1573,619,936
51067102,5,Burnt Chimney Voting District,Franklin,4794,4423,212,86,24,5,44,2267,753,1491
51067203,5,Hodgesville Voting District,Franklin,1189,971,131,51,1,2,33,456,211,236
51067403,5,Endicott Voting District,Franklin,1664,1638,12,3,0,2,9,739,264,469
51067204,5,Dudley Voting District,Franklin,1451,1367,38,21,9,3,13,707,248,446
51067503,5,Bowmans Voting District,Franklin,1381,1316,28,22,6,1,8,680,252,416
